,Songs,Album,Unique Words,Release Date
0,SUPERVILLAIN (INTRO),Born Like This,34,2009
1,GAZZILLION EAR,Born Like This,422,2009
2,BALLSKIN,Born Like This,138,2009
3,YESSIR!,Born Like This,259,2009
4,ABSOLUTELY,Born Like This,226,2009
5,RAP AMBUSH,Born Like This,142,2009
6,LIGHTWORKS,Born Like This,130,2009
7,BATTY BOYZ,Born Like This,292,2009
8,ANGELZ,Born Like This,306,2009
9,CELLZ,Born Like This,312,2009
10,STILL DOPE,Born Like This,289,2009
11,MICROWAVE MAYO,Born Like This,200,2009
12,MORE RHYMIN,Born Like This,157,2009
13,THAT'S THAT,Born Like This,217,2009
14,SUPERVILLAINZ,Born Like This,255,2009
15,BUMPY'S MESSAGE,Born Like This,119,2009
16,THANK YA,Born Like This,5,2009
17,THE.GREEN.WHORE.NET,Born Like This,4,2009
18,GAZZILLION EAR - JNEIRO JAREL / DAVE SITEK REMIX,Born Like This,284,2009
19,GAZZILLION EAR - DR WHO DAT? REMIX,Born Like This,284,2009
20,GAZZILLION EAR - THOM YORKE REMIX,Born Like This,280,2009
21,Pow! (Intro),Madvillainy 2,174,2008
22,No Brain,Madvillainy 2,275,2008
23,Pearls,Madvillainy 2,178,2008
24,Light of the Past,Madvillainy 2,150,2008
25,Boulder Holder,Madvillainy 2,183,2008
26,Borrowed Time,Madvillainy 2,73,2008
27,Space Ho's Coast to Coast,Madvillainy 2,344,2008
28,Invazion (Interlude),Madvillainy 2,40,2008
29,Drainos,Madvillainy 2,148,2008
30,Fire In The Hole,Madvillainy 2,140,2008
31,Heat Niner,Madvillainy 2,155,2008
32,Monkey Suit,Madvillainy 2,428,2008
33,Can't Reform Em,Madvillainy 2,140,2008
34,Redd Spot (Interlude),Madvillainy 2,41,2008
35,Running Around with Another,Madvillainy 2,162,2008
36,Butter King Jewels,Madvillainy 2,236,2008
37,Sermon,Madvillainy 2,235,2008
38,3.214,Madvillainy 2,191,2008
39,Confucius Spot (Interlude),Madvillainy 2,19,2008
40,Never Go Pop,Madvillainy 2,190,2008
41,Cold One,Madvillainy 2,121,2008
42,Cold One (Reprise),Madvillainy 2,2,2008
43,Beef Rap,MM...FOOD,402,2004
44,Hoe Cakes,MM...FOOD,369,2004
45,Potholderz feat. Count Bass D,MM...FOOD,63,2004
46,One Beer,MM...FOOD,342,2004
47,Deep Fried Frenz,MM...FOOD,404,2004
48,Poo-Putt Platter,MM...FOOD,65,2004
49,Fillet-O-Rapper,MM...FOOD,62,2004
50,Gumbo,MM...FOOD,300,2004
51,Fig Leaf Bi-Carbonate,MM...FOOD,159,2004
52,Kon Karne,MM...FOOD,235,2004
53,Guinnesses feat. Angelika & 4ize,MM...FOOD,343,2004
54,Kon Queso,MM...FOOD,379,2004
55,Rapp Snitch Knishes feat. Mr. Fantastik,MM...FOOD,63,2004
56,Vomitspit,MM...FOOD,200,2004
57,Kookies,MM...FOOD,333,2004
58,The Illest Villains,Madvillainy,109,2004
59,Accordion,Madvillainy,141,2004
60,Meat Grinder,Madvillainy,163,2004
61,Bistro,Madvillainy,58,2004
62,Raid,Madvillainy,179,2004
63,America's Most Blunted,Madvillainy,354,2004
64,Rainbows,Madvillainy,112,2004
65,Curls,Madvillainy,112,2004
66,Money Folder,Madvillainy,229,2004
67,Shadows of Tomorrow,Madvillainy,169,2004
68,Operation Lifesaver aka Mint Test,Madvillainy,129,2004
69,Figaro,Madvillainy,237,2004
70,Hardcore Hustle,Madvillainy,116,2004
71,Strange Ways,Madvillainy,149,2004
72,Fancy Clown,Madvillainy,170,2004
73,Eye,Madvillainy,362,2004
74,Supervillain Theme,Madvillainy,4,2004
75,All Caps,Madvillainy,146,2004
76,Great Day,Madvillainy,203,2004
77,Rhinestone Cowboy,Madvillainy,260,2004
78,Vaudeville Villain,Vaudeville Villain,208,2003
79,Lickupon,Vaudeville Villain,229,2003
80,The Drop,Vaudeville Villain,356,2003
81,Lactose and Lecithin,Vaudeville Villain,264,2003
82,A Dead Mouse,Vaudeville Villain,213,2003
83,Raedawn,Vaudeville Villain,238,2003
84,Saliva,Vaudeville Villain,236,2003
85,Popsnot,Vaudeville Villain,201,2003
86,G.M.C.,Vaudeville Villain,264,2003
87,Doomsday,Operation: Doomsday,335,1999
88,Rhymes Like Dimes,Operation: Doomsday,380,1999
89,The Finest,Operation: Doomsday,431,1999
90,Go With the Flow,Operation: Doomsday,76,1999
91,"Tick, Tick...",Operation: Doomsday,289,1999
92,Red and Gold,Operation: Doomsday,284,1999
93,The Hands of Doom (Skit),Operation: Doomsday,72,1999
94,Who You Think I Am?,Operation: Doomsday,392,1999
95,"Doom, Are You Awake? (Skit)",Operation: Doomsday,64,1999
97,Operation: Greenbacks,Operation: Doomsday,295,1999
98,The Mic,Operation: Doomsday,293,1999
99,Dead Bent,Operation: Doomsday,242,1999
100,Gas Drawls,Operation: Doomsday,279,1999
101,?,Operation: Doomsday,349,1999
102,Hero v.s. Villain (Epilogue),Operation: Doomsday,216,1999
103,"Dead Bent - 12"" Version",Operation: Doomsday,257,1999
104,"Gas Drawls - 12"" Version",Operation: Doomsday,285,1999
105,"Hey - 12"" Version",Operation: Doomsday,320,1999
106,"Greenbacks - 12"" Version",Operation: Doomsday,297,1999
107,"Go With the Flow - 12"" Version",Operation: Doomsday,241,1999
